category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Building;Official Residence;1096575951707;Used According to Procedure;Plantation Land;Well Maintained;Jawa Timur;Kabupaten Sampang;-7.5782556;109.2058436;2019;0
Land;Agricultural Land;681881389367;Used for Operations;Sports Facilities (e.g., stadium, sports field);Needs Repair;Jawa Timur;Kabupaten Mojokerto;-7.488075;112.427027;2019;0
Land;Warehouse/Logistics;540323564018;Not Yet Used;School/University Building;Well Maintained;Jawa Timur;Kabupaten Gresik;-7.15665;112.6555;2019;70242063322
Land;Monument or Historical Building;624114318114;Used by Other Parties;Hospital/Clinic;Needs Repair;Jawa Timur;Kabupaten Jombang;-7.5468395;112.2264794;2019;0
Land;Warehouse/Logistics;603263430157;Used According to Procedure;Warehouse/Logistics;Severely Damaged;Jawa Timur;Kota Mojokerto;-7.4722222;112.4336111;2019;0
Building;Public Facilities (Park, Field);896934781812;Used for Operations;Hospital/Clinic;Well Maintained;Jawa Timur;Kota Surabaya;-7.289166;112.734398;2019;0
Building;Official Residence;1184450348623;Used for Operations;Government Office Building;Slightly Damaged;Jawa Timur;Kota Madiun;-7.629714;111.513702;2019;0
Land;School/University Building;745437075632;Used for Functional Vehicles;Agricultural Land;Well Maintained;Jawa Timur;Kota Blitar;-8.1;112.15;2019;0
Building;Unused Vacant Land;879450705972;Used for Functional Vehicles;Agricultural Land;Well Maintained;Jawa Timur;Kota Malang;-7.981894;112.626503;2019;0
Building;Sports Facilities (Stadium, Sports Field);1057464037138;Not Yet Used;Warehouse/Logistics;Slightly Damaged;Jawa Timur;Kota Batu;-7.8671;112.5239;2019;105746403714
Land;Sports Facilities (Stadium, Sports Field);1305154385474;Not Used/Abandoned;Government Office Building;Well Maintained;Jawa Timur;Kota Pasuruan;-7.644872;112.903297;2019;195773157821
Building;Government Office Building;1100668345354;Used by Other Parties;Infrastructure (e.g., bridges, roads);Needs Repair;Jawa Timur;Kota Kediri;-7.816895;112.011398;2019;0
Building;Plantation Land;680873864646;Used for Functional Vehicles;Hospital/Clinic;Slightly Damaged;Jawa Timur;Kota Probolinggo;-7.756928;113.211502;2019;0
Building;School/University Building;739475936540;Not Yet Used;Public Facilities (e.g., park, field);Well Maintained;Jambi;Kabupaten Batanghari;-1.7083922;103.0817903;2019;81342353019
Land;Agricultural Land;865897223399;Used According to Procedure;School/University Building;Severely Damaged;Jambi;Kabupaten Bungo;-1.6401338;101.8891721;2019;0
Building;School/University Building;980808370136;Used by Other Parties;Warehouse/Logistics;Needs Repair;Jambi;Kabupaten Kerinci;-1.8720467;101.4339148;2019;0
Land;Plantation Land;1375449797258;Used by Other Parties;Government Office Building;Slightly Damaged;Jambi;Kabupaten Merangin;-2.1752789;101.9804613;2019;0
Land;Agricultural Land;741941542387;Not Used/Abandoned;School/University Building;Severely Damaged;Jambi;Kabupaten Muaro Jambi;-1.596672;103.615799;2019;103871815934
Building;Plantation Land;1418650800469;Not Used/Abandoned;Monument or Historical Building;Severely Damaged;Jambi;Kabupaten Sarolangun;-2.2654937;102.6905326;2019;156051588052
Land;Unused Vacant Land;1265403302336;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Slightly Damaged;Jambi;Kabupaten Tanjung Jabung Barat;-1.2332122;103.7984428;2019;139194363257
Land;Monument or Historical Building;814329299717;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Well Maintained;Jambi;Kabupaten Tanjung Jabung Timur;-1.3291599;103.89973;2019;0
Building;Hospital/Clinic;1457522036825;Used by Other Parties;Warehouse/Logistics;Severely Damaged;Jambi;Kabupaten Tebo;-1.2592999;102.3463875;2019;0
Building;Government Office Building;863289884812;Not Used/Abandoned;Plantation Land;Well Maintained;Jambi;Kota Jambi;-1.596672;103.615799;2019;120860583874
Building;Warehouse/Logistics;1171972395249;Not Yet Used;Hospital/Clinic;Severely Damaged;Jambi;Kota Sungai Penuh;-2.06314;101.387199;2019;140636687430
Building;Hospital/Clinic;1427466505197;Used by Other Parties;Infrastructure (e.g., bridges, roads);Severely Damaged;Aceh;Kabupaten Simeulue;2.583333;96.083333;2019;0
Building;Agricultural Land;1281058169208;Used for Operations;Agricultural Land;Needs Repair;Aceh;Kabupaten Aceh Singkil;2.3589459;97.87216;2019;0
Land;School/University Building;1377736097913;Not Yet Used;Sports Facilities (e.g., stadium, sports field);Needs Repair;Aceh;Kabupaten Aceh Selatan;3.3115056;97.3516558;2019;137773609791
Land;Government Office Building;657483680631;Not Used/Abandoned;Agricultural Land;Severely Damaged;Aceh;Kabupaten Aceh Tenggara;3.3088666;97.6982272;2019;85472878482
Land;School/University Building;1136287481077;Not Yet Used;Agricultural Land;Slightly Damaged;Aceh;Kabupaten Aceh Timur;5.255443;95.9885456;2019;136354497729
Building;Warehouse/Logistics;576239362322;Used by Other Parties;Hospital/Clinic;Slightly Damaged;Aceh;Kabupaten Aceh Tengah;4.4482641;96.8350999;2019;0
Land;Sports Facilities (Stadium, Sports Field);1470592134334;Used by Other Parties;Public Facilities (e.g., park, field);Well Maintained;Aceh;Kabupaten Aceh Barat;4.4542745;96.1526985;2019;0
Land;Plantation Land;1190698704587;Not Used/Abandoned;Public Facilities (e.g., park, field);Well Maintained;Aceh;Kabupaten Aceh Besar;5.4529168;95.4777811;2019;178604805688
Building;Monument or Historical Building;600404239023;Used for Functional Vehicles;Monument or Historical Building;Severely Damaged;Aceh;Kabupaten Pidie;5.0742659;95.940971;2019;0
Land;Hospital/Clinic;1284820705693;Not Used/Abandoned;Plantation Land;Needs Repair;Aceh;Kabupaten Bireuen;5.18254;96.89005;2019;167026691740
Building;Agricultural Land;956220560093;Used for Operations;Hospital/Clinic;Needs Repair;Aceh;Kabupaten Aceh Utara;4.9786331;97.2221421;2019;0
Building;Sports Facilities (Stadium, Sports Field);575851966941;Used for Functional Vehicles;Hospital/Clinic;Well Maintained;Aceh;Kabupaten Aceh Barat Daya;3.0512643;97.3368031;2019;0
Building;Unused Vacant Land;1296117600510;Used by Other Parties;Infrastructure (e.g., bridges, roads);Severely Damaged;Aceh;Kabupaten Gayo Lues;3.955165;97.3516558;2019;0
Building;Government Office Building;531868770850;Used for Operations;School/University Building;Severely Damaged;Aceh;Kabupaten Aceh Tamiang;4.2328871;98.0028892;2019;0
Land;Monument or Historical Building;1287137172867;Used According to Procedure;Public Facilities (e.g., park, field);Slightly Damaged;Aceh;Kabupaten Nagan Raya;4.1248406;96.4929797;2019;0
Land;Agricultural Land;1067425774846;Used for Functional Vehicles;Warehouse/Logistics;Slightly Damaged;Aceh;Kabupaten Aceh Jaya;4.7873684;95.6457951;2019;0
Land;Agricultural Land;499526063281;Used by Other Parties;Plantation Land;Needs Repair;Aceh;Kabupaten Bener Meriah;4.7748348;97.0068393;2019;0
Land;Agricultural Land;939355258856;Not Yet Used;School/University Building;Severely Damaged;Aceh;Kabupaten Pidie Jaya;5.1548063;96.195132;2019;112722631063
Land;Monument or Historical Building;1103558579379;Not Used/Abandoned;Plantation Land;Severely Damaged;Aceh;Kota Banda Aceh;5.55;95.3166667;2019;132427029525
Building;Government Office Building;700659920748;Not Yet Used;Plantation Land;Needs Repair;Aceh;Kota Sabang;5.8946929;95.3192982;2019;91085789697
Land;Monument or Historical Building;731467400639;Used by Other Parties;Plantation Land;Slightly Damaged;Aceh;Kota Langsa;4.48;97.9633333;2019;0
Building;Sports Facilities (Stadium, Sports Field);561151263547;Used According to Procedure;School/University Building;Well Maintained;Aceh;Kota Lhokseumawe;5.1880556;97.1402778;2019;0
Land;Monument or Historical Building;1162334515545;Used According to Procedure;School/University Building;Needs Repair;Aceh;Kota Subulussalam;2.6449927;98.0165205;2019;0
Land;Public Facilities (Park, Field);690120914791;Used for Operations;Plantation Land;Needs Repair;Sumatera Utara;Kabupaten Nias;-8.1712591;113.7111274;2019;0
Land;Unused Vacant Land;1352479319357;Not Yet Used;Infrastructure (e.g., bridges, roads);Slightly Damaged;Sumatera Utara;Kabupaten Mandailing Natal;0.7432372;99.3673084;2019;162297518323
Land;Unused Vacant Land;1250560784130;Used According to Procedure;Infrastructure (e.g., bridges, roads);Well Maintained;Sumatera Utara;Kabupaten Tapanuli Selatan;1.5774933;99.2785583;2019;0
Land;School/University Building;589209859225;Used for Functional Vehicles;Government Office Building;Needs Repair;Sumatera Utara;Kabupaten Tapanuli Tengah;1.8493299;98.704075;2019;0
Building;Agricultural Land;1050982056446;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Slightly Damaged;Sumatera Utara;Kabupaten Tapanuli Utara;2.0405246;99.1013498;2019;126117846774
Building;Agricultural Land;906736730256;Used According to Procedure;Warehouse/Logistics;Severely Damaged;Sumatera Utara;Kabupaten Toba Samosir;2.3502398;99.2785583;2019;0
Land;Official Residence;1270636792079;Used for Functional Vehicles;Warehouse/Logistics;Needs Repair;Sumatera Utara;Kabupaten Labuhanbatu;2.3439863;100.1703257;2019;0
Land;Government Office Building;1154839158131;Not Yet Used;Public Facilities (e.g., park, field);Severely Damaged;Sumatera Utara;Kabupaten Asahan;2.8174722;99.634135;2019;115483915813
Building;Hospital/Clinic;574497442665;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Sumatera Utara;Kabupaten Simalungun;2.9781612;99.2785583;2019;0
Building;Plantation Land;1472283420260;Used by Other Parties;Hospital/Clinic;Well Maintained;Sumatera Utara;Kabupaten Dairi;2.8675801;98.265058;2019;0
Land;Unused Vacant Land;752140035114;Not Used/Abandoned;Public Facilities (e.g., park, field);Needs Repair;Sumatera Utara;Kabupaten Karo;3.1052909;98.265058;2019;90256804214
Land;Hospital/Clinic;750780082549;Used for Functional Vehicles;Public Facilities (e.g., park, field);Severely Damaged;Sumatera Utara;Kabupaten Deli Serdang;3.4201802;98.704075;2019;0
Land;Warehouse/Logistics;799699548225;Not Used/Abandoned;School/University Building;Needs Repair;Sumatera Utara;Kabupaten Langkat;3.8653916;98.3088441;2019;79969954823
Land;Agricultural Land;1466718665328;Used by Other Parties;Monument or Historical Building;Slightly Damaged;Sumatera Utara;Kabupaten Nias Selatan;0.7086091;97.8286368;2019;0
Building;Official Residence;1295534337907;Used According to Procedure;Public Facilities (e.g., park, field);Slightly Damaged;Sumatera Utara;Kabupaten Humbang Hasundutan;2.1988508;98.5721016;2019;0
Building;Warehouse/Logistics;582344338740;Used by Other Parties;Monument or Historical Building;Well Maintained;Sumatera Utara;Kabupaten Pakpak Bharat;2.545786;98.299838;2019;0
Building;Warehouse/Logistics;912176237718;Not Yet Used;Warehouse/Logistics;Slightly Damaged;Sumatera Utara;Kabupaten Samosir;2.5833333;98.8166667;2019;109461148526
Building;Government Office Building;1346712447997;Not Used/Abandoned;Plantation Land;Needs Repair;Sumatera Utara;Kabupaten Serdang Bedagai;3.3371694;99.0571089;2019;134671244800
Building;Official Residence;843851139863;Not Yet Used;Monument or Historical Building;Well Maintained;Sumatera Utara;Kabupaten Batu Bara;3.1740979;99.5006143;2019;92823625385
Building;Official Residence;786407747471;Used for Functional Vehicles;Plantation Land;Slightly Damaged;Sumatera Utara;Kabupaten Padang Lawas Utara;1.5758644;99.634135;2019;0
Land;Government Office Building;1132193470850;Not Yet Used;Public Facilities (e.g., park, field);Needs Repair;Sumatera Utara;Kabupaten Padang Lawas;1.1186977;99.8124935;2019;158507085919
Land;Monument or Historical Building;862184800413;Used for Operations;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Sumatera Utara;Kota Sibolga;1.7403745;98.7827988;2019;0
Building;Official Residence;657432754515;Used for Functional Vehicles;Warehouse/Logistics;Well Maintained;Sumatera Utara;Kota Tanjung Balai;2.965122;99.800331;2019;0
Building;Hospital/Clinic;977051075890;Used for Operations;Agricultural Land;Well Maintained;Sumatera Utara;Kota Pematang Siantar;2.96;99.06;2019;0
Building;Monument or Historical Building;1303398626928;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Slightly Damaged;Sumatera Utara;Kota Tebing Tinggi;3.3856205;99.2009815;2019;195509794039
Building;Warehouse/Logistics;1336018874902;Not Yet Used;Public Facilities (e.g., park, field);Severely Damaged;Sumatera Utara;Kota Medan;3.585242;98.6755979;2019;200402831235
Land;Hospital/Clinic;1108597234708;Not Used/Abandoned;Agricultural Land;Slightly Damaged;Sumatera Utara;Kota Binjai;3.594462;98.482246;2019;166289585206
Land;Unused Vacant Land;1489637296473;Used According to Procedure;Hospital/Clinic;Slightly Damaged;Sumatera Utara;Kota Padangsidimpuan;1.380424;99.273972;2019;0
Building;Government Office Building;1475279190451;Used According to Procedure;Warehouse/Logistics;Slightly Damaged;Sumatera Barat;Kabupaten Kepulauan Mentawai;-1.426001;98.9245343;2019;0
Building;Hospital/Clinic;734022086076;Not Used/Abandoned;Monument or Historical Building;Severely Damaged;Sumatera Barat;Kabupaten Pesisir Selatan;-1.7223147;100.8903099;2019;102763092051
Land;Hospital/Clinic;1262881424007;Not Used/Abandoned;Government Office Building;Well Maintained;Sumatera Barat;Kabupaten Solok;-0.803027;100.644402;2019;189432213601
Building;Hospital/Clinic;679569283223;Not Yet Used;Plantation Land;Needs Repair;Sumatera Barat;Kabupaten Sijunjung;-0.6881586;100.997658;2019;88344006819
Land;Official Residence;905651187468;Used According to Procedure;Infrastructure (e.g., bridges, roads);Severely Damaged;Sumatera Barat;Kabupaten Tanah Datar;-0.4797043;100.5746224;2019;0
Land;Government Office Building;506737624546;Used According to Procedure;Government Office Building;Needs Repair;Sumatera Barat;Kabupaten Padang Pariaman;-0.5546757;100.2151578;2019;0
Building;School/University Building;697000720425;Not Used/Abandoned;Government Office Building;Severely Damaged;Sumatera Barat;Kabupaten Agam;-0.2209392;100.1703257;2019;97580100860
Building;Plantation Land;719040683843;Not Yet Used;Hospital/Clinic;Needs Repair;Sumatera Barat;Kabupaten Lima Puluh Kota;3.168216;99.4187929;2019;71904068384
Land;Plantation Land;1478351651255;Not Yet Used;Warehouse/Logistics;Slightly Damaged;Sumatera Barat;Kabupaten Pasaman;0.1288752;99.7901781;2019;177402198151
Land;Warehouse/Logistics;538218974515;Used for Operations;Hospital/Clinic;Needs Repair;Sumatera Barat;Kabupaten Solok Selatan;-1.4157329;101.2523792;2019;0
Building;Official Residence;1436705622555;Used by Other Parties;Public Facilities (e.g., park, field);Severely Damaged;Sumatera Barat;Kabupaten Dharmas Raya;-1.1120568;101.6157773;2019;0
Land;Warehouse/Logistics;1329726874515;Used for Operations;School/University Building;Needs Repair;Sumatera Barat;Kabupaten Pasaman Barat;0.2213005;99.634135;2019;0
Building;Government Office Building;519174304441;Used for Functional Vehicles;Agricultural Land;Needs Repair;Sumatera Barat;Kota Padang;-0.95;100.3530556;2019;0
Building;Public Facilities (Park, Field);632704856508;Not Used/Abandoned;School/University Building;Well Maintained;Sumatera Barat;Kota Solok;-0.803027;100.644402;2019;82251631346
Land;Sports Facilities (Stadium, Sports Field);1121888328850;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Needs Repair;Sumatera Barat;Kota Sawah Lunto;-0.6810286;100.7763604;2019;0
Land;Hospital/Clinic;845416600389;Used According to Procedure;Infrastructure (e.g., bridges, roads);Well Maintained;Sumatera Barat;Kota Padang Panjang;-0.470679;100.4059456;2019;0
Building;Hospital/Clinic;836037343682;Not Used/Abandoned;Monument or Historical Building;Needs Repair;Sumatera Barat;Kota Bukittinggi;-0.3055556;100.3691667;2019;83603734368
Building;School/University Building;1188902685710;Used for Functional Vehicles;School/University Building;Needs Repair;Sumatera Barat;Kota Payakumbuh;-0.22887;100.632301;2019;0
Land;Plantation Land;1485300145966;Not Used/Abandoned;Warehouse/Logistics;Needs Repair;Sumatera Barat;Kota Pariaman;-0.6264389;100.1179574;2019;193089018976
Building;Hospital/Clinic;827444715792;Used According to Procedure;Government Office Building;Severely Damaged;Riau;Kabupaten Kuantan Singingi;-0.4411596;101.5248055;2019;0
Building;Hospital/Clinic;1414042073697;Not Used/Abandoned;Plantation Land;Severely Damaged;Riau;Kabupaten Indragiri Hulu;-0.7361181;102.2547919;2019;169685048844
Building;School/University Building;1220670928004;Not Yet Used;Monument or Historical Building;Slightly Damaged;Riau;Kabupaten Indragiri Hilir;-0.1456733;102.989615;2019;170893929921
Land;Official Residence;1338468590763;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Riau;Kabupaten Pelalawan;0.441415;102.088699;2019;133846859076
Land;Plantation Land;1002456452286;Not Used/Abandoned;Public Facilities (e.g., park, field);Severely Damaged;Riau;Kabupaten S I A K;-0.789275;113.921327;2019;100245645229
Land;Agricultural Land;1026753568703;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Needs Repair;Riau;Kabupaten Kampar;0.146671;101.1617356;2019;0
Building;Hospital/Clinic;1039845195352;Not Yet Used;Hospital/Clinic;Needs Repair;Riau;Kabupaten Rokan Hulu;1.0410934;100.439656;2019;103984519535
Land;Agricultural Land;1058401325433;Not Yet Used;School/University Building;Needs Repair;Riau;Kabupaten Bengkalis;1.4897222;102.0797222;2019;116424145798
Land;Warehouse/Logistics;640364542703;Not Yet Used;Agricultural Land;Severely Damaged;Riau;Kabupaten Rokan Hilir;1.6463978;100.8000051;2019;96054681405
Building;Plantation Land;702572820957;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Riau;Kota Pekanbaru;0.5333333;101.45;2019;0
Building;Agricultural Land;649589384757;Used According to Procedure;Infrastructure (e.g., bridges, roads);Needs Repair;Riau;Kota Dumai;1.665742;101.447601;2019;0
Land;School/University Building;686600344208;Used by Other Parties;School/University Building;Slightly Damaged;Jambi;Kabupaten Kerinci;-1.697;101.264;2019;0
Land;Plantation Land;1157598219915;Not Yet Used;Monument or Historical Building;Severely Damaged;Jambi;Kabupaten Merangin;-2.1752789;101.9804613;2019;127335804191
Land;Agricultural Land;702031001562;Used by Other Parties;Plantation Land;Needs Repair;Jambi;Kabupaten Sarolangun;-2.2654937;102.6905326;2019;0
Land;School/University Building;1369675150130;Not Used/Abandoned;Hospital/Clinic;Slightly Damaged;Jambi;Kabupaten Batang Hari;-1.7083922;103.0817903;2019;164361018016
Building;Plantation Land;615553686956;Used According to Procedure;Hospital/Clinic;Well Maintained;Jambi;Kabupaten Muaro Jambi;-1.596672;103.615799;2019;0
Land;Hospital/Clinic;1479322844432;Not Yet Used;Agricultural Land;Slightly Damaged;Jambi;Kabupaten Tanjung Jabung Timur;-1.3291599;103.89973;2019;162725512888
Land;Hospital/Clinic;498260230105;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Jambi;Kabupaten Tanjung Jabung Barat;-1.2332122;103.7984428;2019;0
Building;Unused Vacant Land;1335373544610;Not Used/Abandoned;School/University Building;Severely Damaged;Jambi;Kabupaten Tebo;-1.2592999;102.3463875;2019;146891089907
Building;Plantation Land;498815165032;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Well Maintained;Jambi;Kabupaten Bungo;-1.6401338;101.8891721;2019;0
Land;Official Residence;1277336853808;Not Yet Used;Government Office Building;Needs Repair;Jambi;Kota Jambi;-1.596672;103.615799;2019;127733685381
Land;Warehouse/Logistics;1219888979289;Used for Functional Vehicles;Agricultural Land;Severely Damaged;Sumatra Selatan;Kabupaten Ogan Komering Ulu;-4.0283486;104.0072348;2019;0
Land;School/University Building;1186984453405;Used for Functional Vehicles;Agricultural Land;Well Maintained;Sumatra Selatan;Kabupaten Ogan Komering Ilir;-3.4559744;105.2194808;2019;0
Land;Government Office Building;845500858556;Used for Operations;Public Facilities (e.g., park, field);Severely Damaged;Sumatra Selatan;Kabupaten Muara Enim;-3.651581;103.770798;2019;0
Land;Public Facilities (Park, Field);1119958238323;Not Yet Used;Government Office Building;Needs Repair;Sumatra Selatan;Kabupaten Lahat;-3.7863889;103.5427778;2019;167993735748
Building;Hospital/Clinic;1092450919008;Not Used/Abandoned;Public Facilities (e.g., park, field);Slightly Damaged;Sumatra Selatan;Kabupaten Musi Rawas;-2.8625305;102.989615;2019;152943128661
Building;School/University Building;1231696571117;Used by Other Parties;School/University Building;Well Maintained;Sumatra Selatan;Kabupaten Musi Banyuasin;-2.5442029;103.7289167;2019;0
Land;School/University Building;1202356163230;Used by Other Parties;Infrastructure (e.g., bridges, roads);Needs Repair;Sumatra Selatan;Kabupaten Banyu Asin;-2.6095639;104.7520939;2019;0
Building;Monument or Historical Building;743498789977;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Sumatra Selatan;Kabupaten Ogan Komering Ulu Selatan;-4.6681951;104.0072348;2019;0
Land;Unused Vacant Land;1201938791557;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Well Maintained;Sumatra Selatan;Kabupaten Ogan Komering Ulu Timur;-3.8567934;104.7520939;2019;0
Building;Plantation Land;807328720920;Not Yet Used;Government Office Building;Needs Repair;Sumatra Selatan;Kabupaten Ogan Ilir;-3.426544;104.6121475;2019;104952733720
Land;Official Residence;879899205932;Used for Operations;Public Facilities (e.g., park, field);Well Maintained;Sumatra Selatan;Kabupaten Empat Lawang;-3.7286029;102.8975098;2019;0
Land;School/University Building;782790389350;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Needs Repair;Sumatra Selatan;Kota Palembang;-2.9911083;104.7567333;2019;0
Building;Agricultural Land;1231362513423;Used for Operations;Government Office Building;Slightly Damaged;Sumatra Selatan;Kota Prabumulih;-3.440956;104.235397;2019;0
Land;Public Facilities (Park, Field);1326229360959;Not Used/Abandoned;Hospital/Clinic;Severely Damaged;Sumatra Selatan;Kota Pagar Alam;-4.03767;103.265297;2019;132622936096
Land;Unused Vacant Land;743914053103;Not Used/Abandoned;Public Facilities (e.g., park, field);Severely Damaged;Sumatra Selatan;Kota Lubuklinggau;-3.2966667;102.8616667;2019;81830545841
Land;Official Residence;1007672769818;Used by Other Parties;School/University Building;Slightly Damaged;Bengkulu;Kabupaten Bengkulu Selatan;-4.3248409;103.035694;2019;0
Land;Government Office Building;1197994903479;Used for Operations;Plantation Land;Well Maintained;Bengkulu;Kabupaten Rejang Lebong;-3.4548154;102.6675575;2019;0
Land;Agricultural Land;1316156626978;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Bengkulu;Kabupaten Bengkulu Utara;-3.4219555;102.1632718;2019;184261927777
Land;Monument or Historical Building;1219492647448;Used for Functional Vehicles;Monument or Historical Building;Slightly Damaged;Bengkulu;Kabupaten Kaur;-4.6792278;103.4511768;2019;0
Building;Public Facilities (Park, Field);595392989061;Used by Other Parties;Public Facilities (e.g., park, field);Severely Damaged;Bengkulu;Kabupaten Seluma;-4.0622929;102.5642261;2019;0
Building;Hospital/Clinic;1176598954219;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Bengkulu;Kabupaten Mukomuko;-2.5760003;101.1169805;2019;141191874506
Land;School/University Building;1396509935105;Used for Operations;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Bengkulu;Kabupaten Lebong;-2.992617;104.382202;2019;0
Land;Hospital/Clinic;936022199334;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Well Maintained;Bengkulu;Kabupaten Kepahiang;-3.651431;102.578201;2019;121682885913
Building;Monument or Historical Building;1234747328325;Not Used/Abandoned;Government Office Building;Severely Damaged;Bengkulu;Kota Bengkulu;-3.7955556;102.2591667;2019;135822206116
Building;Hospital/Clinic;1452677587027;Used for Operations;Infrastructure (e.g., bridges, roads);Slightly Damaged;Lampung;Kabupaten Lampung Barat;-5.1490396;104.1930918;2019;0
Building;Agricultural Land;1186412587473;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Well Maintained;Lampung;Kabupaten Tanggamus;-5.3027489;104.5655273;2019;0
Building;School/University Building;784731133376;Not Used/Abandoned;Hospital/Clinic;Needs Repair;Lampung;Kabupaten Lampung Selatan;-5.5622614;105.5474373;2019;94167736005
Land;Unused Vacant Land;946052264261;Not Used/Abandoned;Hospital/Clinic;Slightly Damaged;Lampung;Kabupaten Lampung Timur;-5.1134995;105.6881788;2019;132447316997
Land;Warehouse/Logistics;962579016641;Used by Other Parties;Government Office Building;Needs Repair;Lampung;Kabupaten Lampung Tengah;-4.8008086;105.3131185;2019;0
Building;Government Office Building;1340511302250;Used According to Procedure;Monument or Historical Building;Severely Damaged;Lampung;Kabupaten Lampung Utara;-4.8133905;104.7520939;2019;0
Building;Hospital/Clinic;1458983411406;Used by Other Parties;Hospital/Clinic;Well Maintained;Lampung;Kabupaten Way Kanan;-4.4963689;104.5655273;2019;0
Building;Public Facilities (Park, Field);1086284723474;Used According to Procedure;Hospital/Clinic;Slightly Damaged;Lampung;Kabupaten Tulangbawang;-4.3176576;105.5005483;2019;0
Building;Plantation Land;573272767906;Used for Operations;Infrastructure (e.g., bridges, roads);Needs Repair;Lampung;Kabupaten Pesawaran;-5.493245;105.0791228;2019;0
Land;Public Facilities (Park, Field);1440380758182;Used for Functional Vehicles;Government Office Building;Slightly Damaged;Lampung;Kota Bandar Lampung;-5.45;105.2666667;2019;0
Building;Hospital/Clinic;1484571839714;Used According to Procedure;Hospital/Clinic;Severely Damaged;Lampung;Kota Metro;-5.1166667;105.3;2019;0
Building;School/University Building;889912050621;Used by Other Parties;Plantation Land;Slightly Damaged;Bangka Belitung;Kabupaten Bangka;-2.2884782;106.0640179;2019;0
Building;Government Office Building;1317458693706;Not Yet Used;Hospital/Clinic;Needs Repair;Bangka Belitung;Kabupaten Belitung;-2.8708938;107.9531836;2019;184444217119
Land;Government Office Building;927971138855;Not Yet Used;Agricultural Land;Slightly Damaged;Bangka Belitung;Kabupaten Bangka Barat;-2.2884782;106.0640179;2019;120636248051
Land;Hospital/Clinic;1187900581867;Used According to Procedure;Hospital/Clinic;Well Maintained;Bangka Belitung;Kabupaten Bangka Tengah;-2.2884782;106.0640179;2019;0
Land;Hospital/Clinic;538444138257;Used for Operations;Infrastructure (e.g., bridges, roads);Needs Repair;Bangka Belitung;Kabupaten Bangka Selatan;-2.2884782;106.0640179;2019;0
Building;School/University Building;1381890011274;Not Used/Abandoned;Agricultural Land;Well Maintained;Bangka Belitung;Kabupaten Belitung Timur;-2.8708938;107.9531836;2019;152007901240
Land;Sports Facilities (Stadium, Sports Field);541346097735;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Severely Damaged;Bangka Belitung;Kota Pangkal Pinang;-2.129323;106.109596;2019;64961531728
Land;School/University Building;715516117118;Used According to Procedure;Plantation Land;Severely Damaged;Kepulauan Riau;Kabupaten Karimun;1.05;103.3666667;2019;0
Building;Public Facilities (Park, Field);1060995177294;Used for Functional Vehicles;Plantation Land;Severely Damaged;Kepulauan Riau;Kabupaten Bintan;1.0619173;104.5189214;2019;0
Land;Government Office Building;1373898897425;Used by Other Parties;Infrastructure (e.g., bridges, roads);Severely Damaged;Kepulauan Riau;Kabupaten Natuna;3.9329945;108.1812242;2019;0
Building;Plantation Land;767606352144;Not Yet Used;Plantation Land;Well Maintained;Kepulauan Riau;Kabupaten Lingga;-0.1627686;104.6354631;2019;107464889300
Land;Government Office Building;585592493831;Used by Other Parties;Monument or Historical Building;Severely Damaged;Kepulauan Riau;Kota Batam;1.0456264;104.0304535;2019;0
Land;Plantation Land;1301295206523;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Needs Repair;Kepulauan Riau;Kota Tanjung Pinang;0.9179205;104.446464;2019;0
Building;Monument or Historical Building;853861974777;Used According to Procedure;Agricultural Land;Needs Repair;DKI Jakarta;Kabupaten Kepulauan Seribu;-5.7985266;106.5071982;2019;0
Building;School/University Building;1235745290606;Used for Operations;Infrastructure (e.g., bridges, roads);Well Maintained;DKI Jakarta;Kota Jakarta Selatan;-6.332973;106.807915;2019;0
